ID;Título;Fuente;Nombre_archivo
1;Long-term effects of marijuana use on the brain;https://doi.org/10.1073/pnas.1415297111;filbey-et-al-long-term-effects-of-marijuana-use-on-the-brain.pdf
2;A systematic – Review of academic stress intended to improve the educational journey of learners;https://doi.org/10.1016/j.metip.2024.100163;1-s2.0-S2590260124000298-main.pdf
3;The effects of physical exercise on anxiety symptoms of college students: A meta-analysis;https://doi.org/10.3389/fpsyg.2023.1136900;fpsyg-14-1136900.pdf
4;Student Stress and the Effects of Relaxation: A Study Conducted at the University of Lille in Northern France;https://doi.org/10.3390/socsci12060318;socsci-12-00318-v2.pdf
5;A Review of First-Year Student Stress and Social Support;https://doi.org/10.3390/socsci10120472;socsci-10-00472-v3.pdf
6;Effectiveness of Mindfulness-Based Stress Reduction on MentalHealth and Psychological Quality of Life among UniversityStudents: A GRADE-Assessed Systematic Review;https://doi.org/10.1155/2024/8872685;Evidence-Based Complementary and Alternative Medicine - 2024 - Pan - Effectiveness of Mindfulness‐Based Stress Reduction on.pdf
7;College Students and Eating Habits: A Study Using An Ecological Model for Healthy Behavior;https://doi.org/10.3390/nu10121823;nutrients-10-01823.pdf
8;Association between 25-Hydroxyvitamin D Status and Components of Body Composition and Glucose Metabolism in Older Men and Women;https://doi.org/10.3390/nu10121826;nutrients-10-01826.pdf
9;Complementary Biomarker Assessment of Components Absorbed from Diet and Creatinine Excretion Rate Reflecting Muscle Mass in Dialysis Patients;https://doi.org/10.3390/nu10121827;nutrients-10-01827.pdf
10;Nobiletin Enhances Chemosensitivity to Adriamycin through Modulation of the Akt/GSK3β/β–Catenin/MYCN/MRP1 Signaling Pathway in A549 Human Non-Small-Cell Lung Cancer Cells;https://doi.org/10.3390/nu10121829;nutrients-10-01829-v2.pdf
11;Lipoprotein Profile in Aged Rats Fed Chia Oil- or Hydroxytyrosol-Enriched Pork in High Cholesterol/High Saturated Fat Diets;https://doi.org/10.3390/nu10121830;nutrients-10-01830-v2.pdf
12;Deciphering the Role of the Non-Coding Genome in Regulating Gene-Diet Interactions;https://doi.org/10.3390/nu10121831;nutrients-10-01831.pdf
13;Probiotics in Celiac Disease;https://doi.org/10.3390/nu10121824;nutrients-10-01824-v2.pdf
14;Relationship between Dietary n-6 Fatty Acid Intake and Hypertension: Effect of Glycated Hemoglobin Levels;https://doi.org/10.3390/nu10121825;nutrients-10-01825.pdf
15;Short Communication: Differences in Levels of Free Amino Acids and Total Protein in Human Foremilk and Hindmilk;https://doi.org/10.3390/nu10121828;nutrients-10-01828.pdf
16;The Divergent Effect of Maternal Protein Restriction during Pregnancy and Postweaning High-Fat Diet Feeding on Blood Pressure and Adiposity in Adult Mouse Offspring;https://doi.org/10.3390/nu10121832;nutrients-10-01832-v2.pdf
17;Forced-choice experiment on Anomalous Information Reception and correlations with states of consciousness using the Multivariable Multiaxial Suggestibility Inventory-2 (MMSI-2);https://doi.org/10.1016/j.explore.2020.11.009;1-s2.0-S1550830720303785-main.pdf
18;Determinants of sleep quality in college students: A literature review;https://doi.org/10.1016/j.explore.2020.11.003;1-s2.0-S1550830720303736-main.pdf
19;The effect of Emotional Freedom Techniques on nurses' stress, anxiety, and burnout levels during the COVID-19 pandemic: A randomized controlled trial;https://doi.org/10.1016/j.explore.2020.11.012;1-s2.0-S1550830720303839-main.pdf
20;Exercise as a therapeutic modality for the prevention and treatment of depression;https://doi.org/10.1016/j.pcad.2023.02.008;1-s2.0-S0033062023000142-main.pdf
21;Musculoskeletal exercise: Its role in promoting health and longevity;https://doi.org/10.1016/j.pcad.2023.02.006;1-s2.0-S0033062023000129-main.pdf
22;COVID-19, Unhealthy lifestyle behaviors and chronic disease in the United States: Mapping the social injustice overlay;https://doi.org/10.1016/j.pcad.2023.02.010;1-s2.0-S0033062023000166-main.pdf
23;A systematic and meta-analytic review of the impact of sleep restriction on memory formation;https://doi.org/10.1016/j.neubiorev.2024.105929;1-s2.0-S0149763424003981-main.pdf
24;The effect of caffeine on subsequent sleep: A systematic review and meta-analysis;https://doi.org/10.1016/j.smrv.2023.101764;1-s2.0-S1087079223000205-main.pdf
25;How should we manage fatigue in on-call workers? A review of guidance materials and a systematic review of the evidence-base;https://doi.org/10.1016/j.smrv.2024.102012;1-s2.0-S1087079224001163-main.pdf
26;Delayed Sleep Phase Syndrome: A Literature Review;http://doi.org/10.22201/fm.24484865e.2022.65.1.08;a8-47-58.pdf
27;Determinants of Sleep Quality: A Cross-Sectional Study in University Students;https://doi.org/10.3390/ijerph20032019;ijerph-20-02019.pdf
28;Re-considering the Role of Sleep Hygiene Behaviours in Sleep: Associations Between Sleep Hygiene, Perceptions and Sleep;https://doi.org/10.1007/s12529-023-10212-y;s12529-023-10212-y.pdf
29;The effect of alcohol on subsequent sleep in healthy adults: A systematic review and meta-analysis;https://doi.org/10.1016/j.smrv.2024.102030;1-s2.0-S1087079224001345-main.pdf
30;Adolescents’ sleep quality is associated with day of the week, school timing and chronotype;https://doi.org/10.1016/j.sleepe.2024.100092;1-s2.0-S2667343624000180-main.pdf
31;An evaluation of sleep quality and nutritional status in nurses with different chronotypes;https://doi.org/10.1016/j.heliyon.2024.e39509;PIIS2405844024155405.pdf
32;Chronotype and lifestyle in the transition to adulthood: Exploring the role of sleep health and circadian misalignment;https://doi.org/10.1016/j.sleh.2024.08.003;PIIS2352721824001797.pdf
33;Conducta alimentaria y su relación con el estrés, la ansiedad, la depresión y el insomnio en estudiantes universitarios.;https://doi.org/10.20960/nh.02641;MA-02641-01.pdf
34;Dietary habits and health effects among university students. A systematic review;https://revistas.unisimon.edu.co/index.php/psicogente/article/view/4861;psicogente,+Revista+PSICOGENTE+47+-2022-I-+7+Art+-+Habitos+alimenticios+y+sus+efectos++(2).pdf
35;Analysis of Coffee Consumption Habits: Case Study in Students of the International Business Program of FACPyA, UANL.;http://www.spentamexico.org/v14-n2/A22.14(2)336-351.pdf;A22.14(2)336-351.pdf
36;Physical Activity Guidelines 2nd edition;https://odphp.health.gov/sites/default/files/2019-09/Physical_Activity_Guidelines_2nd_edition.pdf;Physical_Activity_Guidelines_2nd_edition.pdf
37;Deskfit Booklet;https://www.nasa.gov/wp-content/uploads/2020/03/hq_deskfit_booklet_6.10.2020.pdf;hq_deskfit_booklet_6.10.2020.pdf
38;Workplace Wellness Guidebook;Workplace_Wellness-GUIDEBOOK-FINAL-20170714.pdf;Workplace_Wellness-GUIDEBOOK-FINAL-20170714.pdf
39;DIRECTRICES DE LA OMS SOBRE ACTIVIDAD FÍSICA Y COMPORTAMIENTOS SEDENTARIOS;;
